진료년도,표시과목,주상병코드,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,산부인과,D50,12640,20118,20178,761988170,565076330
2019,산부인과,D51,12,29,29,711730,506130
2019,산부인과,D52,196,241,241,6800640,5209130
2019,산부인과,D53,68,124,124,6850380,5690780
2019,산부인과,D55,1,2,2,26900,18900
2019,산부인과,D56,1,1,1,11210,7910
2019,산부인과,D59,7,11,11,455160,329360
2019,산부인과,D61,3,3,3,64590,45290
2019,산부인과,D62,222,382,395,14842100,10730940
2019,산부인과,D63,5,7,7,199970,146170
2019,산부인과,D64,2452,3753,3761,134713190,96111120
2019,산부인과,D65,1,2,2,55210,49710
2019,산부인과,D68,46,68,68,2889530,2207830
2019,산부인과,D69,237,350,351,15793220,13336440
2019,산부인과,D70,1,1,1,15690,10990
2019,산부인과,D72,30,43,43,1748970,1420970
2019,산부인과,D73,2,2,2,150900,105700
2019,산부인과,D75,5,6,6,158610,111310
2019,산부인과,D76,1,2,2,26900,24300
2019,산부인과,D80,1,1,1,22180,15580
2019,산부인과,D82,2,3,3,162880,114180
2019,산부인과,D84,5,6,6,90950,68650
2019,산부인과,E00,5,7,7,552720,397820
2019,산부인과,E01,3,3,3,431610,339310
2019,산부인과,E02,80,97,97,4444920,3861920
2019,산부인과,E03,7328,18068,18069,1049221600,859168930
2019,산부인과,E04,2152,2667,2661,132692000,93562490
2019,산부인과,E05,1296,2842,2843,173843400,140772170
2019,산부인과,E06,1984,3754,3754,185875160,145260400
2019,산부인과,E07,8607,11384,11387,795960490,595280720
2019,산부인과,E10,78,214,214,7564360,6030740
2019,산부인과,E11,3121,12974,12979,347327360,258884710
2019,산부인과,E12,2,4,4,31130,21930
2019,산부인과,E13,188,552,552,18517380,13606680
2019,산부인과,E14,1117,2869,2868,136754940,99359530
2019,산부인과,E16,27,39,39,1720460,1076090
2019,산부인과,E20,8,13,13,361040,277540
2019,산부인과,E21,8,14,14,369440,261040
2019,산부인과,E22,4206,6726,6726,212953660,150533750
2019,산부인과,E23,109,195,195,8444400,5935300
2019,산부인과,E24,8,17,17,742410,527810
2019,산부인과,E25,6,72,72,1166100,852900
2019,산부인과,E27,7,7,7,196160,170760
2019,산부인과,E28,30010,60804,60805,2315920500,1626449180
2019,산부인과,E29,6,63,63,964850,685550
2019,산부인과,E30,364,893,893,51166990,36084490
2019,산부인과,E32,2,2,2,23820,19920
2019,산부인과,E34,61,98,98,2586600,1845680
2019,산부인과,E35,302,1266,1266,21322040,15333340
2019,산부인과,E41,13,21,21,356580,276080
2019,산부인과,E43,1,1,1,0,0
2019,산부인과,E44,7,8,8,168910,124210
2019,산부인과,E45,1,1,1,15690,10990
2019,산부인과,E46,29,59,59,856890,675390
2019,산부인과,E50,341,543,543,7373920,5380420
2019,산부인과,E53,107,136,136,5431330,4069660
2019,산부인과,E54,1,1,1,11210,7910
2019,산부인과,E55,11802,17031,17031,350830310,249405160
2019,산부인과,E56,149,223,223,3868590,2770350
2019,산부인과,E58,546,975,975,18770170,13582270
2019,산부인과,E61,73,138,143,2870490,2078100
2019,산부인과,E63,59,143,143,2642100,2014200
2019,산부인과,E64,6,8,8,136420,114720
2019,산부인과,E65,6,7,7,108710,79510
2019,산부인과,E66,841,1757,1757,30150840,21596240
2019,산부인과,E67,9,9,9,230030,169930
2019,산부인과,E68,1,1,1,19580,13780
2019,산부인과,E70,4,4,4,55720,53120
2019,산부인과,E71,8,8,8,776480,737980
2019,산부인과,E72,24,25,25,1582870,1505070
2019,산부인과,E73,151,172,172,4025700,3422500
2019,산부인과,E74,58,68,68,4940260,4566460
2019,산부인과,E75,23,30,30,1304660,930460
2019,산부인과,E76,1,1,1,12610,12010
2019,산부인과,E78,7835,17736,17734,427363570,304967250
2019,산부인과,E79,6,15,15,192000,140200
2019,산부인과,E80,6,8,8,282250,197950
2019,산부인과,E83,929,1657,1657,24827430,18175720
2019,산부인과,E84,1,1,1,142050,99450
2019,산부인과,E86,660,828,827,19471590,14866730
2019,산부인과,E87,100,127,143,6545910,5031630
2019,산부인과,E88,92,104,104,7928880,7234580
2019,산부인과,E89,40,148,148,4828850,3612750
2019,산부인과,E90,13,14,14,632340,472140
2019,산부인과,F00,202,941,941,5501870,4273470
2019,산부인과,F01,14,35,35,233870,191170
2019,산부인과,F02,6,43,43,609040,451340
2019,산부인과,F03,25,54,54,933410,710010
2019,산부인과,F05,4,6,6,46720,38920
2019,산부인과,F06,1360,3012,3012,53825720,41174920
2019,산부인과,F07,39,45,45,675560,600760
2019,산부인과,F13,1,1,1,15690,10990
2019,산부인과,F20,13,64,64,1330270,1134070
2019,산부인과,F22,1,3,3,30480,25980
2019,산부인과,F25,3,5,5,105190,73690
2019,산부인과,F30,5,25,25,89370,66170
2019,산부인과,F31,40,123,123,1066600,842200
2019,산부인과,F32,816,2471,2471,38043900,27514750
2019,산부인과,F33,11,21,21,287660,214160
2019,산부인과,F34,37,88,88,1715230,1266730
2019,산부인과,F38,7,7,7,183100,128500
2019,산부인과,F39,29,41,41,796850,585950
2019,산부인과,F40,23,47,47,650690,478390
2019,산부인과,F41,585,1010,1010,17594680,13075870
2019,산부인과,F42,5,16,16,189600,160300
2019,산부인과,F43,49,65,65,1622030,1142520
2019,산부인과,F44,1,1,1,19580,13780
2019,산부인과,F45,161,312,312,5700010,4162010
2019,산부인과,F48,489,818,818,15766290,11281580
2019,산부인과,F50,113,207,207,2987760,2125060
2019,산부인과,F51,1093,2442,2442,39093440,28500640
2019,산부인과,F52,75,104,104,2385640,1765000
2019,산부인과,F53,5,5,5,75630,53030
2019,산부인과,F54,20,22,22,346340,286840
2019,산부인과,F59,41,56,56,866070,620370
2019,산부인과,F60,5,11,11,144880,107180
2019,산부인과,F64,64,305,305,4007050,2823450
2019,산부인과,F65,1,1,1,15690,10990
2019,산부인과,F66,26,85,85,1254670,979470
2019,산부인과,F79,1,1,1,11790,9390
2019,산부인과,F80,45,46,46,652070,516370
2019,산부인과,F81,2,2,2,23000,17300
2019,산부인과,F82,2,2,2,27090,26490
2019,산부인과,F84,15,15,15,218590,181290
2019,산부인과,F88,2,2,2,33200,26400
2019,산부인과,F89,11,12,12,156760,125360
2019,산부인과,F90,9,20,20,289130,225730
2019,산부인과,F91,2,2,2,34490,30290
2019,산부인과,F92,15,31,31,414750,297750
2019,산부인과,F93,3,3,3,47060,34160
2019,산부인과,F95,18,19,19,264230,201830
2019,산부인과,F98,27,33,33,553910,467810
2019,산부인과,G02,1,2,2,30180,21280
2019,산부인과,G03,12,13,13,206340,155740
2019,산부인과,G04,1,1,1,11790,9390
2019,산부인과,G05,111,173,174,2596140,1942560
2019,산부인과,G06,1,1,1,11800,9400
2019,산부인과,G11,1,3,3,9120,6420
2019,산부인과,G12,1,5,5,60530,53030
2019,산부인과,G20,33,135,135,2802750,2422350
2019,산부인과,G21,7,56,56,1014480,821780
2019,산부인과,G22,1,1,1,36780,25780
2019,산부인과,G23,2,3,3,51080,38180
2019,산부인과,G24,17,34,34,790610,578810
2019,산부인과,G25,22,54,54,614750,465950
2019,산부인과,G30,10,42,42,642170,569270
2019,산부인과,G31,2672,5763,5763,96378410,74055640
2019,산부인과,G32,2,6,6,83930,73130
2019,산부인과,G35,2,2,2,41300,37200
2019,산부인과,G40,27,72,72,992230,780430
2019,산부인과,G41,7,38,38,398050,302750
2019,산부인과,G43,996,1418,1418,25661020,18947050
2019,산부인과,G44,480,671,671,15580980,11232960
2019,산부인과,G45,8,40,40,296060,243860
2019,산부인과,G46,3,26,26,825140,577940
2019,산부인과,G47,4114,10326,10326,162760660,117924590
2019,산부인과,G50,20,26,26,1316120,941020
2019,산부인과,G51,19,26,26,375710,286910
2019,산부인과,G52,3,19,19,223000,174800
2019,산부인과,G53,115,299,299,5267810,3932910
2019,산부인과,G54,59,81,81,2461280,1934580
2019,산부인과,G55,3,4,4,99990,73290
2019,산부인과,G56,37,54,54,2079040,1470240
2019,산부인과,G57,9,18,18,525940,388540
2019,산부인과,G58,12,25,25,962810,760710
2019,산부인과,G59,2,3,3,38110,30010
2019,산부인과,G61,2,2,2,29930,22330
2019,산부인과,G62,13,40,40,912040,655540
2019,산부인과,G63,10,37,37,482650,368250
2019,산부인과,G64,108,177,177,2629270,2077120
2019,산부인과,G70,2,3,3,40720,33920
2019,산부인과,G71,8,10,10,147900,113100
2019,산부인과,G73,1,3,3,22160,15660
2019,산부인과,G80,2,5,5,66700,51100
2019,산부인과,G81,3,17,17,350730,251730
2019,산부인과,G83,4,5,5,73240,60040
2019,산부인과,G90,108,188,188,2973020,2213620
2019,산부인과,G91,9,16,16,221440,176940
2019,산부인과,G93,35,52,52,1374760,1005660
2019,산부인과,G94,1,1,1,11210,7910
2019,산부인과,G95,4,11,11,177240,153040
2019,산부인과,G96,8,11,12,335860,252030
2019,산부인과,G99,8,23,23,351900,258400
2019,산부인과,H00,724,853,853,14299080,11167080
2019,산부인과,H01,335,435,435,6491120,5022020
2019,산부인과,H02,38,42,42,669440,581540
2019,산부인과,H03,5,9,9,65370,53470
2019,산부인과,H04,933,1350,1350,19504800,15619800
2019,산부인과,H05,36,41,41,763970,591670
2019,산부인과,H10,7508,9897,9906,148101560,126289170
2019,산부인과,H11,379,607,607,8789950,6387850
2019,산부인과,H13,3,4,4,58200,50000
2019,산부인과,H16,247,379,379,5547880,4271280
2019,산부인과,H17,1,1,1,15690,10990
2019,산부인과,H18,5,10,10,97460,78660
2019,산부인과,H19,31,42,42,523950,396950
2019,산부인과,H20,4,4,4,48800,37300
2019,산부인과,H25,93,135,135,1939510,1643210
2019,산부인과,H26,14,39,39,477060,356560
2019,산부인과,H28,2,4,4,49320,38320
2019,산부인과,H30,3,3,3,55230,41330
2019,산부인과,H34,3,6,6,78670,66070
2019,산부인과,H35,104,123,123,1977990,1862590
2019,산부인과,H36,21,73,73,854220,698420
2019,산부인과,H40,45,121,121,1413830,1137430
2019,산부인과,H42,1,1,1,11210,9710
2019,산부인과,H43,1,1,1,12610,12010
2019,산부인과,H44,19,22,22,263320,195720
2019,산부인과,H47,8,9,9,135710,102310
2019,산부인과,H49,3,6,6,98280,74880
2019,산부인과,H50,38,43,43,626880,562180
2019,산부인과,H52,152,162,162,3695090,2914290
2019,산부인과,H53,12,16,16,1044380,738880
2019,산부인과,H54,3,3,3,51870,38170
2019,산부인과,H55,2,2,2,39670,37870
2019,산부인과,H57,11,11,11,149360,123660
2019,산부인과,H60,924,1287,1287,22518580,18624680
2019,산부인과,H61,473,517,517,12697110,10597610
2019,산부인과,H62,20,31,31,589090,430990
2019,산부인과,H65,2234,5228,5228,71919870,60041070
2019,산부인과,H66,13754,46769,46824,711514100,585784790
2019,산부인과,H67,71,134,134,2029310,1742610
2019,산부인과,H68,11,14,14,210350,149850
2019,산부인과,H69,4,6,6,83280,64280
2019,산부인과,H70,1,1,1,76300,68700
2019,산부인과,H71,3,3,3,47970,36570
2019,산부인과,H72,8,16,16,327360,239360
2019,산부인과,H73,4,4,4,95520,69620
2019,산부인과,H74,1,1,1,15690,10990
2019,산부인과,H81,551,859,864,17030380,12611500
2019,산부인과,H82,34,34,34,1499400,1101900
2019,산부인과,H90,25,26,26,948770,897770
2019,산부인과,H91,71,90,94,2106630,1904950
2019,산부인과,H92,159,164,164,2554420,2075720
2019,산부인과,H93,160,198,198,5325810,4600510
2019,산부인과,H94,1,1,1,12610,12010
2019,산부인과,I00,16,44,44,986070,703570
2019,산부인과,I05,2,3,3,232160,162560
2019,산부인과,I10,9429,40195,40198,811840110,612116330
2019,산부인과,I11,164,769,769,15915650,11852170
2019,산부인과,I12,35,231,231,3322970,2582770
2019,산부인과,I13,15,38,38,357050,257650
2019,산부인과,I15,199,623,624,10059900,7736350
2019,산부인과,I20,111,269,269,9083460,6620990
2019,산부인과,I21,18,48,48,6044880,4286180
2019,산부인과,I22,2,6,6,70620,63120
2019,산부인과,I24,7,17,17,208520,156820
2019,산부인과,I25,11,18,18,245550,219150
2019,산부인과,I27,1,2,2,181170,126970
2019,산부인과,I34,2,2,2,187590,166690
2019,산부인과,I35,2,4,4,105200,76900
2019,산부인과,I38,1,1,1,26900,18900
2019,산부인과,I41,1,1,1,15690,10990
2019,산부인과,I42,4,7,7,96760,88760
2019,산부인과,I45,5,14,14,204660,154260
2019,산부인과,I47,20,25,25,443290,343690
2019,산부인과,I48,22,44,44,816360,626620
2019,산부인과,I49,159,239,243,6671530,5436580
2019,산부인과,I50,32,62,62,1508320,1136120
2019,산부인과,I51,43,51,51,1076350,819150
2019,산부인과,I61,4,33,33,560860,513360
2019,산부인과,I63,53,176,176,2826290,2194490
2019,산부인과,I64,1,4,4,33650,27550
2019,산부인과,I65,15,26,26,561170,422770
2019,산부인과,I66,2,10,10,130000,115000
2019,산부인과,I67,47,139,139,2841510,2245410
2019,산부인과,I68,4,9,9,121270,97770
2019,산부인과,I69,14,29,29,1590350,1151150
2019,산부인과,I70,39,89,89,2198160,1764560
2019,산부인과,I71,4,6,6,359040,261940
2019,산부인과,I72,2,2,2,119900,84000
2019,산부인과,I73,777,1581,1581,27837600,20228380
2019,산부인과,I74,16,22,22,805850,633450
2019,산부인과,I77,1,1,1,15690,10990
2019,산부인과,I78,17,28,28,859300,651000
2019,산부인과,I79,3,4,4,102940,75840
2019,산부인과,I80,67,87,109,18282940,17428410
2019,산부인과,I81,4,4,4,295410,206910
2019,산부인과,I82,11,18,18,451000,337100
2019,산부인과,I83,211,324,324,11030140,8295040
2019,산부인과,I85,1,1,1,25200,17700
2019,산부인과,I86,33,47,47,894700,645000
2019,산부인과,I87,543,1034,1034,19007480,13747480
2019,산부인과,I88,165,228,235,5913090,4459190
2019,산부인과,I89,356,1295,1295,19142190,14052890
2019,산부인과,I95,51,73,73,2200110,1653510
2019,산부인과,I98,3,4,4,42840,30240
2019,산부인과,I99,9,21,21,291510,212210
2019,산부인과,J00,35150,79177,79202,1175710060,961660050
2019,산부인과,J01,14652,39905,39907,562917740,450859550
2019,산부인과,J02,23076,53033,53047,763443830,618272900
2019,산부인과,J03,21717,46082,46427,835068240,651887520
2019,산부인과,J04,2134,3625,3658,75515810,61847420
2019,산부인과,J05,870,1443,1452,25381130,20859850
2019,산부인과,J06,24629,45597,45668,723843960,579480880
2019,산부인과,J09,105,126,126,2213670,1723170
2019,산부인과,J10,4749,7079,7281,147997520,115519720
2019,산부인과,J11,2034,2808,2928,56105140,45065120
2019,산부인과,J12,21,27,27,2015490,1824790
2019,산부인과,J14,1,1,1,19580,13780
2019,산부인과,J15,1156,2619,2619,58953660,45395660
2019,산부인과,J16,1,1,1,20490,16190
2019,산부인과,J17,41,41,41,675710,473810
2019,산부인과,J18,3156,6751,7617,247697230,211862370
2019,산부인과,J20,88775,297666,297898,4457912060,3537860290
2019,산부인과,J21,6234,16624,16667,285989350,243216250
2019,산부인과,J22,501,1004,1004,21029670,15876470
2019,산부인과,J30,33606,86837,86835,1280798990,1024879830
2019,산부인과,J31,364,612,612,8908930,6706630
2019,산부인과,J32,1443,2897,2897,55930240,42257240
2019,산부인과,J33,2,2,2,31700,24100
2019,산부인과,J34,60,72,72,1223040,968340
2019,산부인과,J35,102,195,195,3048720,2397520
2019,산부인과,J36,1772,7267,7270,100444540,80794920
2019,산부인과,J37,6,23,23,415980,292180
2019,산부인과,J38,19,19,19,918370,669470
2019,산부인과,J39,351,566,566,9230260,7229060
2019,산부인과,J40,3271,4484,4492,77100690,62339890
2019,산부인과,J41,82,132,132,1698420,1253920
2019,산부인과,J42,128,227,227,3233770,2444570
2019,산부인과,J43,1,2,2,30170,25470
2019,산부인과,J44,73,191,191,4093530,3044230
2019,산부인과,J45,5183,11824,11838,207789530,164110720
2019,산부인과,J46,166,317,317,6171700,4998300
2019,산부인과,J47,18,30,30,703810,513910
2019,산부인과,J67,32,54,54,3922320,2756720
2019,산부인과,J69,2,2,2,44700,43200
2019,산부인과,J70,2,3,3,32590,22890
2019,산부인과,J80,1,1,1,25780,18080
2019,산부인과,J81,6,9,12,304600,231290
2019,산부인과,J84,3,3,3,55700,40300
2019,산부인과,J90,12,17,17,485570,353170
2019,산부인과,J93,6,7,7,145340,121840
2019,산부인과,J95,1,1,1,31840,22340
2019,산부인과,J96,2,2,2,39670,37870
2019,산부인과,J98,118,138,156,8082670,6418620
2019,산부인과,J99,1,4,4,56330,39530
2019,산부인과,K00,30,32,32,652320,555020
2019,산부인과,K02,11,11,11,151520,117520
2019,산부인과,K03,3,3,3,47570,43570
2019,산부인과,K04,18,26,26,616220,468020
2019,산부인과,K05,173,288,288,4538900,3620800
2019,산부인과,K06,24,27,27,396170,351570
2019,산부인과,K07,11,20,20,427220,310520
2019,산부인과,K08,71,94,94,1873870,1516870
2019,산부인과,K09,39,39,39,623930,581330
2019,산부인과,K10,2,3,3,40040,28140
2019,산부인과,K11,81,111,111,1722620,1290720
2019,산부인과,K12,1628,2265,2289,35336860,28406350
2019,산부인과,K13,88,97,97,2453080,1922780
2019,산부인과,K14,83,90,90,1403350,1164920
2019,산부인과,K20,34,38,38,1043170,744970
2019,산부인과,K21,7034,10295,10316,255927560,186543650
2019,산부인과,K22,13,20,20,591360,452660
2019,산부인과,K23,3,3,3,49360,38160
2019,산부인과,K25,2113,3082,3082,81707860,58417110
2019,산부인과,K26,667,1089,1088,38692280,27289660
2019,산부인과,K27,629,777,777,14930950,11143510
2019,산부인과,K28,1,1,1,11210,7910
2019,산부인과,K29,47021,78980,79045,3030061890,2143607270
2019,산부인과,K30,12297,18455,18455,616695820,439858080
2019,산부인과,K31,225,298,298,11278620,7978010
2019,산부인과,K35,52,55,59,4607920,3507260
2019,산부인과,K36,6,7,7,514240,421540
2019,산부인과,K37,40,44,44,1869900,1343200
2019,산부인과,K38,4,4,4,133360,110060
2019,산부인과,K40,140,163,164,4169340,3351240
2019,산부인과,K41,10,11,11,303980,245480
2019,산부인과,K42,117,124,124,2097800,1944100
2019,산부인과,K43,9,11,11,177290,142990
2019,산부인과,K45,11,11,18,2158720,1604320
2019,산부인과,K46,26,30,30,526710,410110
2019,산부인과,K50,49,78,78,8635600,6103100
2019,산부인과,K51,24,113,113,3175110,2792500
2019,산부인과,K52,2309,2882,2909,61251750,47988420
2019,산부인과,K55,4,4,4,135340,104490
2019,산부인과,K56,61,72,85,3261980,2499570
2019,산부인과,K57,27,39,39,2580790,1823090
2019,산부인과,K58,4080,6242,6270,223481110,163208490
2019,산부인과,K59,11914,17481,17503,554436510,416140420
2019,산부인과,K60,71,100,100,2114900,1629900
2019,산부인과,K61,94,197,200,11979780,10027990
