진료년도,표시과목,주상병코드,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2018,일반의,D72,1544,1892,53669760,38308420
2018,일반의,D73,128,159,16077760,11313360
2018,일반의,D74,1,1,10950,7750
2018,일반의,D75,437,535,20457700,14696540
2018,일반의,D76,23,50,2281930,1630130
2018,일반의,D77,5,12,207560,154960
2018,일반의,D80,6,18,678620,576920
2018,일반의,D81,4,10,359260,301560
2018,일반의,D82,18,311,18542950,17275620
2018,일반의,D83,2,10,161350,145950
2018,일반의,D84,30,103,2079420,1742920
2018,일반의,D86,16,88,4665050,4037650
2018,일반의,D89,11,18,1074590,804840
2018,일반의,E00,23,47,1163450,833450
2018,일반의,E01,54,73,2823640,2047940
2018,일반의,E02,523,2525,78074610,58286410
2018,일반의,E03,58550,202017,5757501890,4174726320
2018,일반의,E04,27556,34861,1945436600,1376846570
2018,일반의,E05,19537,64988,2476418160,1767674900
2018,일반의,E06,9979,18202,944308660,670115330
2018,일반의,E07,21576,29734,1568215460,1117611170
2018,일반의,E10,9138,39424,832840930,647103890
2018,일반의,E11,485871,3184870,64744012420,50404403040
2018,일반의,E12,187,1002,18225420,14571600
2018,일반의,E13,18141,95994,1973389030,1528268500
2018,일반의,E14,76774,378756,7735865100,5973875070
2018,일반의,E15,18,21,1110350,865170
2018,일반의,E16,2401,3695,94770420,74435040
2018,일반의,E20,285,618,16684890,12296590
2018,일반의,E21,1061,1891,139115160,98190660
2018,일반의,E22,1764,3292,124918550,89795050
2018,일반의,E23,455,1980,37315150,28588620
2018,일반의,E24,118,411,18274700,14877030
2018,일반의,E25,37,139,2103820,1737820
2018,일반의,E26,18,36,2358730,2084930
2018,일반의,E27,594,1230,47241280,35822060
2018,일반의,E28,9311,19833,1072665900,753208910
2018,일반의,E29,868,1982,72201190,51336490
2018,일반의,E30,5007,22128,2020608620,1419522920
2018,일반의,E31,3,11,134210,94810
2018,일반의,E32,18,19,1070550,762350
2018,일반의,E34,884,1846,35223430,25210730
2018,일반의,E35,278,398,30624960,21573360
2018,일반의,E40,2,2,27150,20550
2018,일반의,E41,185,382,6164460,4917460
2018,일반의,E42,1,1,15610,14110
2018,일반의,E43,2,3,76280,59480
2018,일반의,E44,62,115,2436160,1804060
2018,일반의,E45,4,4,65930,51630
2018,일반의,E46,320,687,9079860,7166250
2018,일반의,E50,6417,10451,146111590,109200990
2018,일반의,E51,109,212,10865430,8181090
2018,일반의,E53,753,1122,14287220,11012220
2018,일반의,E54,109,220,3941120,2827920
2018,일반의,E55,22499,33835,649189170,471511950
2018,일반의,E56,1260,1714,32345340,24260540
2018,일반의,E58,1970,4272,63487600,48758900
2018,일반의,E59,2,3,48530,34230
2018,일반의,E60,40,52,1813260,1284160
2018,일반의,E61,1053,1509,25773760,19423860
2018,일반의,E63,1709,3136,63964550,51181190
2018,일반의,E64,56,98,1275850,961450
2018,일반의,E65,40,49,964030,701930
2018,일반의,E66,5063,9323,137028760,96970310
2018,일반의,E67,115,198,2926350,2081650
2018,일반의,E68,1,1,46610,32710
2018,일반의,E70,28,123,3256940,2851640
2018,일반의,E71,25,163,49584440,43002810
2018,일반의,E72,10,102,8623350,8070700
2018,일반의,E73,175,230,3386590,2727490
2018,일반의,E74,17,89,3057580,2719680
2018,일반의,E75,53,371,13870710,12003810
2018,일반의,E76,11,22,797110,627610
2018,일반의,E77,5,84,1264380,1135180
2018,일반의,E78,419039,1192779,24553560160,17965049210
2018,일반의,E79,1258,2030,54272090,39796190
2018,일반의,E80,190,239,6956540,4967140
2018,일반의,E83,3724,6894,133998790,103874000
2018,일반의,E84,14,23,825690,631290
2018,일반의,E85,14,100,2545720,2261920
2018,일반의,E86,39833,62762,1882428910,1425094700
2018,일반의,E87,8355,15587,657941880,516697920
2018,일반의,E88,1173,2481,81932730,61819330
2018,일반의,E89,1526,4559,101479820,74240870
2018,일반의,E90,35,45,750690,554790
2018,일반의,F00,36342,208775,7533733310,5735296300
2018,일반의,F01,3289,13312,476103820,363162640
2018,일반의,F02,379,1440,73787010,57313900
2018,일반의,F03,5285,15466,644776730,505576910
